source_ip,win_total_events,win_unique_hosts,win_unique_users,win_failed_logons,win_process_creations,win_privileged_logons,win_service_installs,win_rdp_logons,win_network_logons,win_off_hours_events,win_fail_ratio,win_priv_ratio,win_process_ratio,win_off_hours_ratio,zeek_total_conns,zeek_unique_dst_ips,zeek_unique_dst_ports,zeek_failed_conns,zeek_encrypted_conns,zeek_off_hours_conns,zeek_mean_duration,zeek_mean_orig_bytes,zeek_mean_resp_bytes,zeek_total_orig_bytes,zeek_mean_bytes_ratio,zeek_mean_orig_pkts,zeek_fail_ratio,zeek_encrypted_ratio,zeek_off_hours_ratio,zeek_dst_diversity,threat_score,is_anomaly,ind_high_fail_ratio,ind_high_upload_ratio,ind_high_port_spread,ja3_never_seen_conns,ja3_rare_conns,ja3_known_c2_conns,ja3_min_frequency,ind_ja3_c2_match
10.10.3.135,5.0,5.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.2,0.0,0.4,296.0,279.0,8.0,68.0,30.0,142.0,14.403861486486486,6792891.280405405,264738.3006756757,2010695819.0,182.39126224701215,4851.574324324324,0.22972972972972974,0.10135135135135136,0.4797297297297297,0.02867383512544803,1.0,1,0,1,0,0.0,30.0,0.0,8.145909531528744e-06,0
10.20.0.39,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.25,0.25,0.25,0.0,305.0,299.0,9.0,51.0,32.0,156.0,15.571718032786885,4975626.809836065,254308.31147540984,1517566177.0,31.249826551311617,3553.537704918033,0.16721311475409836,0.10491803278688525,0.5114754098360655,0.030100334448160536,0.9359683429003964,1,1,0,0,1.0,32.0,0.0,8.145909531528744e-06,0
45.142.212.65,356.0,196.0,177.0,61.0,37.0,20.0,8.0,50.0,156.0,153.0,0.17134831460674158,0.056179775280898875,0.10393258426966293,0.4297752808988764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9223805829984109,1,0,0,0,0.0,0.0,0.0,,0
10.40.1.2,6.0,6.0,5.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,333.0,320.0,9.0,83.0,44.0,178.0,15.358324324324325,1600738.6966966968,255876.33633633633,533045986.0,12.548819394365749,1142.885885885886,0.24924924924924924,0.13213213213213212,0.5345345345345346,0.028125,0.8836357292206541,1,1,0,0,2.0,44.0,0.0,8.145909531528744e-06,0
185.220.101.82,381.0,190.0,186.0,76.0,38.0,16.0,0.0,54.0,168.0,169.0,0.1994750656167979,0.04199475065616798,0.09973753280839895,0.4435695538057743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8809255463595697,1,0,0,0,0.0,0.0,0.0,,0
91.108.56.204,362.0,197.0,169.0,79.0,48.0,19.0,5.0,54.0,142.0,186.0,0.21823204419889503,0.052486187845303865,0.13259668508287292,0.5138121546961326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8674060729632731,1,1,0,0,0.0,0.0,0.0,,0
192.168.10.159,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,316.0,305.0,10.0,71.0,38.0,158.0,14.935243670886077,4944997.75949367,257890.93987341772,1562619292.0,93.30555240690704,3531.6708860759495,0.22468354430379747,0.12025316455696203,0.5,0.03278688524590164,0.8531163596279728,1,0,1,0,0.0,38.0,0.0,8.145909531528744e-06,0
1.1.1.42,368.0,196.0,181.0,66.0,34.0,14.0,11.0,44.0,160.0,192.0,0.1793478260869565,0.03804347826086957,0.09239130434782608,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8458250113160872,1,0,0,0,0.0,0.0,0.0,,0
178.62.12.71,279.0,164.0,145.0,38.0,47.0,8.0,2.0,31.0,123.0,121.0,0.13620071684587814,0.02867383512544803,0.16845878136200718,0.4336917562724014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390377977735647,1,0,0,0,0.0,0.0,0.0,,0
1.1.1.209,370.0,199.0,176.0,78.0,45.0,14.0,3.0,53.0,160.0,189.0,0.21081081081081082,0.03783783783783784,0.12162162162162163,0.5108108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8305237036293673,1,0,0,0,0.0,0.0,0.0,,0
172.16.1.16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,316.0,307.0,8.0,72.0,45.0,168.0,14.639452531645569,4900735.943037975,254163.5094936709,1548632558.0,288.18429386600246,3500.025316455696,0.22784810126582278,0.14240506329113925,0.5316455696202531,0.026058631921824105,0.8261782249768408,1,1,1,0,0.0,45.0,0.0,8.145909531528744e-06,0
208.67.222.232,382.0,199.0,182.0,65.0,53.0,13.0,4.0,48.0,175.0,195.0,0.17015706806282724,0.034031413612565446,0.1387434554973822,0.5104712041884817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8124257562860167,1,0,0,0,0.0,0.0,0.0,,0
208.67.222.65,371.0,197.0,181.0,67.0,42.0,14.0,8.0,46.0,168.0,186.0,0.18059299191374664,0.03773584905660377,0.11320754716981132,0.5013477088948787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8116813309482717,1,0,0,0,0.0,0.0,0.0,,0
94.102.49.148,349.0,193.0,173.0,82.0,44.0,6.0,6.0,50.0,148.0,183.0,0.2349570200573066,0.017191977077363897,0.12607449856733524,0.5243553008595988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8096924015658802,1,1,0,0,0.0,0.0,0.0,,0
10.20.0.199,3.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,309.0,303.0,8.0,72.0,49.0,171.0,15.609262135922329,4800294.572815534,258544.58899676375,1483291023.0,40.26432919970362,3428.2815533980583,0.23300970873786409,0.15857605177993528,0.5533980582524272,0.026402640264026403,0.8093300957615223,1,0,1,0,3.0,49.0,0.0,8.145909531528744e-06,0
10.10.3.59,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.5,0.0,0.0,0.5,313.0,302.0,10.0,77.0,31.0,153.0,15.733680511182108,4698290.22683706,251994.04153354632,1470564841.0,113.97052730861832,3355.44089456869,0.24600638977635783,0.09904153354632587,0.48881789137380194,0.033112582781456956,0.8050573051783689,1,1,1,0,0.0,31.0,0.0,8.145909531528744e-06,0
178.62.12.99,337.0,192.0,173.0,73.0,51.0,12.0,6.0,30.0,153.0,158.0,0.2166172106824926,0.03560830860534125,0.1513353115727003,0.4688427299703264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8005005972050442,1,1,0,0,0.0,0.0,0.0,,0
10.10.1.161,5.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,0.2,0.0,0.4,0.6,310.0,301.0,10.0,63.0,32.0,154.0,16.69603548387097,4626709.941935484,255799.09354838709,1434280082.0,390.05984997761306,3304.293548387097,0.2032258064516129,0.1032258064516129,0.4967741935483871,0.03322259136212625,0.7960906391948815,1,0,1,0,3.0,33.0,0.0,8.145909531528744e-06,0
10.30.1.104,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,281.0,275.0,10.0,71.0,22.0,143.0,13.146523131672598,4641521.206405694,242259.9074733096,1304267459.0,28.738489398000254,3314.886120996441,0.2526690391459075,0.07829181494661921,0.5088967971530249,0.03636363636363636,0.793251640303085,1,0,0,0,0.0,22.0,0.0,8.145909531528744e-06,0
8.8.8.213,350.0,201.0,175.0,73.0,45.0,13.0,7.0,52.0,156.0,178.0,0.20857142857142857,0.037142857142857144,0.12857142857142856,0.5085714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7925179501574618,1,0,0,0,0.0,0.0,0.0,,0
10.10.1.233,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,341.0,330.0,9.0,75.0,51.0,162.0,15.565636363636363,4274323.079178886,246652.81524926686,1457544170.0,69.51741096211265,3052.5689149560117,0.21994134897360704,0.1495601173020528,0.4750733137829912,0.02727272727272727,0.7913676142226448,1,1,1,0,0.0,51.0,0.0,8.145909531528744e-06,0
192.168.2.247,7.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,278.0,264.0,9.0,75.0,39.0,142.0,14.677838129496402,2648802.0503597124,247817.74100719424,736366970.0,16.44155660528777,1891.5143884892086,0.2697841726618705,0.14028776978417265,0.5107913669064749,0.03409090909090909,0.7908611803966247,1,0,0,0,1.0,40.0,0.0,8.145909531528744e-06,0
10.10.3.80,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,269.0,258.0,10.0,64.0,37.0,119.0,15.286070631970262,2441324.594795539,240706.98884758365,656716316.0,20.70409551663783,1743.3494423791822,0.2379182156133829,0.137546468401487,0.4423791821561338,0.03875968992248062,0.7791675124557191,1,0,0,0,1.0,37.0,0.0,8.145909531528744e-06,0
8.8.8.119,351.0,194.0,172.0,39.0,43.0,20.0,4.0,48.0,157.0,171.0,0.1111111111111111,0.05698005698005698,0.1225071225071225,0.48717948717948717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7731281533161501,1,0,0,0,0.0,0.0,0.0,,0
192.168.1.210,5.0,5.0,5.0,0.0,3.0,1.0,0.0,1.0,3.0,4.0,0.0,0.2,0.6,0.8,300.0,296.0,8.0,76.0,35.0,138.0,13.810076666666667,2190965.966666667,249656.64333333334,657289790.0,36.605615696664835,1564.46,0.25333333333333335,0.11666666666666667,0.46,0.02702702702702703,0.7677426132969687,1,0,0,0,0.0,35.0,0.0,8.145909531528744e-06,0
8.8.8.66,364.0,203.0,180.0,71.0,38.0,10.0,4.0,66.0,145.0,179.0,0.19505494505494506,0.027472527472527472,0.1043956043956044,0.49175824175824173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7670555431678154,1,0,0,0,0.0,0.0,0.0,,0
192.168.2.145,6.0,6.0,5.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.6666666666666666,0.3333333333333333,292.0,282.0,8.0,78.0,38.0,145.0,15.728489726027398,4715496.058219178,264525.0410958904,1376924849.0,37.879042519506605,3367.719178082192,0.2671232876712329,0.13013698630136986,0.4965753424657534,0.028368794326241134,0.7635340868084753,1,0,1,0,1.0,38.0,0.0,8.145909531528744e-06,0
45.142.212.173,354.0,185.0,168.0,80.0,33.0,19.0,6.0,52.0,149.0,178.0,0.22598870056497175,0.05367231638418079,0.09322033898305085,0.5028248587570622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600081919891561,1,1,0,0,0.0,0.0,0.0,,0
192.168.2.78,8.0,8.0,5.0,1.0,5.0,0.0,0.0,1.0,4.0,5.0,0.125,0.0,0.625,0.625,284.0,279.0,10.0,59.0,41.0,141.0,13.709362676056337,2497484.908450704,248126.83450704225,709285714.0,20.63497863091236,1783.411971830986,0.20774647887323944,0.1443661971830986,0.4964788732394366,0.035842293906810034,0.7598789866759058,1,0,0,0,1.0,41.0,0.0,8.145909531528744e-06,0
94.102.49.154,362.0,197.0,176.0,45.0,36.0,15.0,2.0,46.0,172.0,198.0,0.12430939226519337,0.04143646408839779,0.09944751381215469,0.5469613259668509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7568826595844897,1,0,0,0,0.0,0.0,0.0,,0
10.40.0.74,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,338.0,333.0,10.0,72.0,41.0,166.0,15.64510650887574,4444290.035502959,259514.70118343196,1502170032.0,69.46838615179244,3174.0207100591715,0.21301775147928995,0.12130177514792899,0.4911242603550296,0.03003003003003003,0.7476760437575584,1,1,1,0,0.0,41.0,0.0,8.145909531528744e-06,0
103.75.190.156,342.0,191.0,160.0,55.0,28.0,22.0,5.0,60.0,134.0,187.0,0.1608187134502924,0.06432748538011696,0.08187134502923976,0.5467836257309941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7463616208630142,1,0,0,0,0.0,0.0,0.0,,0
103.75.190.155,375.0,201.0,176.0,57.0,46.0,13.0,3.0,65.0,163.0,173.0,0.152,0.034666666666666665,0.12266666666666666,0.4613333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746278873245803,1,0,0,0,0.0,0.0,0.0,,0
